id,victim_id,filed_at,amount_lost,narrative_text,bank_name,status
22,22,2026-06-30T14:38:27,489000.04,My ICICI Bank debit card details were compromised after a phishing SMS. Rs 489000 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: ICIC09211.,ICICI Bank,open
23,23,2026-08-06T06:26:35,150356.0,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 150356. I later found the beneficiary IFSC was BARB06407 and the number is no longer reachable.,Bank of Baroda,open
24,24,2026-07-24T03:43:27,462477.01,I received a call claiming to be from Bank of Baroda customer support and was asked to share an OTP. Rs 462477 was debited from my account without my consent. The transaction reference mentions IFSC BARB05261.,Bank of Baroda,open
25,25,2026-08-18T15:52:15,285906.05,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 285906. I later found the beneficiary IFSC was HDFC08131 and the number is no longer reachable.,HDFC Bank,open
26,26,2026-06-05T19:11:07,373939.3,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 373939. I later found the beneficiary IFSC was BARB06280 and the number is no longer reachable.,Bank of Baroda,open
27,27,2026-08-02T02:37:22,351419.4,My Axis Bank debit card details were compromised after a phishing SMS. Rs 351419 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: UTIB00220.,Axis Bank,open
28,28,2026-08-28T07:23:41,439861.36,An unknown person posing as a ICICI Bank official convinced me to make a 'verification transfer' of Rs 439861. I later found the beneficiary IFSC was ICIC00310 and the number is no longer reachable.,ICICI Bank,open
29,29,2026-08-25T11:42:50,309609.94,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 309609 was debited from my account without my consent. The transaction reference mentions IFSC UTIB01867.,Axis Bank,open
30,30,2026-08-20T11:49:29,10471.82,I received a call claiming to be from ICICI Bank customer support and was asked to share an OTP. Rs 10471 was debited from my account without my consent. The transaction reference mentions IFSC ICIC01009.,ICICI Bank,open
31,31,2026-07-02T20:08:00,429318.88,An unknown person posing as a ICICI Bank official convinced me to make a 'verification transfer' of Rs 429318. I later found the beneficiary IFSC was ICIC08214 and the number is no longer reachable.,ICICI Bank,open
32,32,2026-08-06T15:38:00,186190.83,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 186190 was debited from my account without my consent. The transaction reference mentions IFSC UTIB00537.,Axis Bank,open
33,33,2026-07-30T17:09:05,150800.04,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 150800 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC00202.,ICICI Bank,open
34,34,2026-08-06T06:24:19,492258.79,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 492258 was debited from my account without my consent. The transaction reference mentions IFSC UTIB07469.,Axis Bank,open
35,35,2026-08-21T21:45:24,211753.6,My Axis Bank debit card details were compromised after a phishing SMS. Rs 211753 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: UTIB03493.,Axis Bank,open
36,36,2026-06-10T23:02:49,341193.01,An unknown person posing as a Axis Bank official convinced me to make a 'verification transfer' of Rs 341193. I later found the beneficiary IFSC was UTIB03385 and the number is no longer reachable.,Axis Bank,open
37,37,2026-07-19T12:45:47,168758.46,My Axis Bank debit card details were compromised after a phishing SMS. Rs 168758 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: UTIB09861.,Axis Bank,open
38,38,2026-06-30T07:54:49,422898.55,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 422898 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC03261.,ICICI Bank,open
39,39,2026-07-02T04:08:41,82427.12,I received a call claiming to be from Bank of Baroda customer support and was asked to share an OTP. Rs 82427 was debited from my account without my consent. The transaction reference mentions IFSC BARB08652.,Bank of Baroda,open
40,40,2026-06-03T14:02:53,460783.56,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 460783 was debited from my account without my consent. The transaction reference mentions IFSC UTIB07203.,Axis Bank,open
41,41,2026-08-26T20:43:34,263495.17,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 263495. I later found the beneficiary IFSC was SBIN00761 and the number is no longer reachable.,State Bank of India,open
42,42,2026-08-23T12:58:03,249032.59,I was tricked into installing a remote-access app after a fake HDFC Bank KYC update message. Rs 249032 was transferred out immediately. Bank IFSC on the receiving account appears to be HDFC02280.,HDFC Bank,open
43,43,2026-06-27T10:56:17,201425.77,I received a call claiming to be from State Bank of India customer support and was asked to share an OTP. Rs 201425 was debited from my account without my consent. The transaction reference mentions IFSC SBIN03626.,State Bank of India,open
44,44,2026-07-03T00:50:07,216991.28,I received a call claiming to be from HDFC Bank customer support and was asked to share an OTP. Rs 216991 was debited from my account without my consent. The transaction reference mentions IFSC HDFC04262.,HDFC Bank,open
45,45,2026-07-18T15:03:47,447132.2,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 447132 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB08653.,Punjab National Bank,open
46,46,2026-08-18T10:42:05,192177.28,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 192177 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB07649.,Bank of Baroda,open
47,47,2026-07-16T04:11:56,223482.82,I received a call claiming to be from ICICI Bank customer support and was asked to share an OTP. Rs 223482 was debited from my account without my consent. The transaction reference mentions IFSC ICIC02827.,ICICI Bank,open
48,48,2026-08-16T08:43:00,41132.0,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 41132. I later found the beneficiary IFSC was HDFC06408 and the number is no longer reachable.,HDFC Bank,open
49,49,2026-06-12T05:14:20,430908.53,I received a call claiming to be from HDFC Bank customer support and was asked to share an OTP. Rs 430908 was debited from my account without my consent. The transaction reference mentions IFSC HDFC03004.,HDFC Bank,open
50,50,2026-08-01T04:27:52,340382.7,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 340382. I later found the beneficiary IFSC was BARB06631 and the number is no longer reachable.,Bank of Baroda,open
51,51,2026-07-20T04:44:20,372018.5,My ICICI Bank debit card details were compromised after a phishing SMS. Rs 372018 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: ICIC09021.,ICICI Bank,open
52,52,2026-06-20T12:41:25,104515.71,My ICICI Bank debit card details were compromised after a phishing SMS. Rs 104515 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: ICIC07711.,ICICI Bank,open
53,53,2026-06-22T01:55:38,139072.35,I was tricked into installing a remote-access app after a fake HDFC Bank KYC update message. Rs 139072 was transferred out immediately. Bank IFSC on the receiving account appears to be HDFC02405.,HDFC Bank,open
54,54,2026-08-24T16:23:46,465911.35,I was tricked into installing a remote-access app after a fake Bank of Baroda KYC update message. Rs 465911 was transferred out immediately. Bank IFSC on the receiving account appears to be BARB03733.,Bank of Baroda,open
55,55,2026-07-05T05:26:07,56266.66,An unknown person posing as a Axis Bank official convinced me to make a 'verification transfer' of Rs 56266. I later found the beneficiary IFSC was UTIB03387 and the number is no longer reachable.,Axis Bank,open
56,56,2026-08-21T15:37:51,261689.64,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 261689. I later found the beneficiary IFSC was SBIN03774 and the number is no longer reachable.,State Bank of India,open
57,57,2026-06-14T20:49:54,405713.0,An unknown person posing as a Punjab National Bank official convinced me to make a 'verification transfer' of Rs 405713. I later found the beneficiary IFSC was PUNB05963 and the number is no longer reachable.,Punjab National Bank,open
58,58,2026-07-26T17:16:33,269544.18,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 269544 was debited from my account without my consent. The transaction reference mentions IFSC PUNB05826.,Punjab National Bank,open
59,59,2026-06-24T17:50:50,416794.61,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 416794 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN06221.,State Bank of India,open
60,60,2026-07-26T20:43:59,346874.07,I received a call claiming to be from Bank of Baroda customer support and was asked to share an OTP. Rs 346874 was debited from my account without my consent. The transaction reference mentions IFSC BARB00053.,Bank of Baroda,open
61,61,2026-07-14T21:21:41,202063.25,I was tricked into installing a remote-access app after a fake HDFC Bank KYC update message. Rs 202063 was transferred out immediately. Bank IFSC on the receiving account appears to be HDFC07618.,HDFC Bank,open
62,62,2026-08-27T11:35:11,97483.31,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 97483. I later found the beneficiary IFSC was BARB09208 and the number is no longer reachable.,Bank of Baroda,open
63,63,2026-07-07T14:10:17,187476.53,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 187476. I later found the beneficiary IFSC was HDFC05394 and the number is no longer reachable.,HDFC Bank,open
64,64,2026-07-02T00:19:42,344570.82,My State Bank of India debit card details were compromised after a phishing SMS. Rs 344570 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: SBIN07347.,State Bank of India,open
65,65,2026-06-14T13:09:14,480783.85,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 480783 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN00574.,State Bank of India,open
66,66,2026-06-02T16:16:57,456024.43,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 456024 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB00187.,Punjab National Bank,open
67,67,2026-06-05T06:44:36,192025.75,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 192025 was debited from my account without my consent. The transaction reference mentions IFSC PUNB05334.,Punjab National Bank,open
68,68,2026-08-11T00:01:22,177110.59,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 177110 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB03277.,Bank of Baroda,open
69,69,2026-07-14T13:22:33,37947.26,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 37947 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC04784.,ICICI Bank,open
70,70,2026-06-24T09:21:12,413621.65,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 413621 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB02515.,Punjab National Bank,open
71,71,2026-07-29T02:23:06,405490.72,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 405490 was debited from my account without my consent. The transaction reference mentions IFSC PUNB00108.,Punjab National Bank,open
72,72,2026-07-27T14:06:47,188502.52,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 188502 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN02179.,State Bank of India,open
73,73,2026-07-21T19:32:26,56881.52,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 56881 was debited from my account without my consent. The transaction reference mentions IFSC UTIB04590.,Axis Bank,open
74,74,2026-06-14T00:17:49,338300.6,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 338300. I later found the beneficiary IFSC was BARB05136 and the number is no longer reachable.,Bank of Baroda,open
75,75,2026-06-22T01:43:24,346652.52,My ICICI Bank debit card details were compromised after a phishing SMS. Rs 346652 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: ICIC03156.,ICICI Bank,open
76,76,2026-07-10T19:02:28,7319.56,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 7319 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC05846.,ICICI Bank,open
77,77,2026-07-28T11:32:50,161909.32,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 161909 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN02884.,State Bank of India,open
78,78,2026-07-28T08:18:31,254419.01,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 254419. I later found the beneficiary IFSC was SBIN01309 and the number is no longer reachable.,State Bank of India,open
79,79,2026-06-27T13:46:18,380191.15,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 380191 was debited from my account without my consent. The transaction reference mentions IFSC PUNB00979.,Punjab National Bank,open
80,80,2026-06-17T19:12:00,212511.93,I was tricked into installing a remote-access app after a fake Axis Bank KYC update message. Rs 212511 was transferred out immediately. Bank IFSC on the receiving account appears to be UTIB00200.,Axis Bank,open
81,81,2026-06-03T12:34:37,400272.38,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 400272 was debited from my account without my consent. The transaction reference mentions IFSC UTIB06722.,Axis Bank,open
82,82,2026-06-10T03:13:15,325733.17,My Axis Bank debit card details were compromised after a phishing SMS. Rs 325733 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: UTIB02690.,Axis Bank,open
83,83,2026-06-11T07:41:54,289611.37,An unknown person posing as a Axis Bank official convinced me to make a 'verification transfer' of Rs 289611. I later found the beneficiary IFSC was UTIB07868 and the number is no longer reachable.,Axis Bank,open
84,84,2026-07-13T10:42:38,153883.89,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 153883 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC04848.,ICICI Bank,open
85,85,2026-06-01T04:36:35,35174.95,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 35174 was debited from my account without my consent. The transaction reference mentions IFSC PUNB01416.,Punjab National Bank,open
86,86,2026-07-09T02:02:31,126247.21,I received a call claiming to be from State Bank of India customer support and was asked to share an OTP. Rs 126247 was debited from my account without my consent. The transaction reference mentions IFSC SBIN05198.,State Bank of India,open
87,87,2026-06-28T13:33:58,293092.31,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 293092 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN02387.,State Bank of India,open
88,88,2026-06-16T16:04:22,311778.7,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 311778 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB01007.,Bank of Baroda,open
89,89,2026-08-03T14:04:29,452702.47,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 452702 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC02763.,ICICI Bank,open
90,90,2026-08-13T21:53:05,341297.53,I received a call claiming to be from ICICI Bank customer support and was asked to share an OTP. Rs 341297 was debited from my account without my consent. The transaction reference mentions IFSC ICIC09768.,ICICI Bank,open
91,91,2026-06-07T14:13:44,157083.09,An unknown person posing as a ICICI Bank official convinced me to make a 'verification transfer' of Rs 157083. I later found the beneficiary IFSC was ICIC09206 and the number is no longer reachable.,ICICI Bank,open
92,92,2026-07-30T10:16:34,401678.52,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 401678. I later found the beneficiary IFSC was HDFC01230 and the number is no longer reachable.,HDFC Bank,open
93,93,2026-06-10T06:15:42,49285.4,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 49285 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB00162.,Bank of Baroda,open
94,94,2026-07-22T22:37:01,373615.3,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 373615 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB02239.,Punjab National Bank,open
95,95,2026-06-19T03:51:17,327409.26,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 327409 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB08574.,Bank of Baroda,open
96,96,2026-07-08T02:15:54,27978.23,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 27978 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN00041.,State Bank of India,open
97,97,2026-06-04T07:32:09,410991.76,An unknown person posing as a ICICI Bank official convinced me to make a 'verification transfer' of Rs 410991. I later found the beneficiary IFSC was ICIC01281 and the number is no longer reachable.,ICICI Bank,open
98,98,2026-08-16T13:48:37,143690.88,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 143690 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB08370.,Bank of Baroda,open
99,99,2026-06-21T08:24:20,279725.26,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 279725 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC08676.,ICICI Bank,open
100,100,2026-07-18T15:50:00,104007.32,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 104007 was debited from my account without my consent. The transaction reference mentions IFSC UTIB07897.,Axis Bank,open
101,101,2026-08-14T19:20:20,42130.57,I received a call claiming to be from ICICI Bank customer support and was asked to share an OTP. Rs 42130 was debited from my account without my consent. The transaction reference mentions IFSC ICIC04486.,ICICI Bank,open
102,102,2026-07-26T16:54:49,17510.28,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 17510. I later found the beneficiary IFSC was SBIN09332 and the number is no longer reachable.,State Bank of India,open
103,103,2026-06-12T18:35:23,350946.01,I received a call claiming to be from ICICI Bank customer support and was asked to share an OTP. Rs 350946 was debited from my account without my consent. The transaction reference mentions IFSC ICIC04960.,ICICI Bank,open
104,104,2026-07-06T16:28:56,378000.99,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 378000 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC09044.,ICICI Bank,open
105,105,2026-08-19T00:47:29,360367.19,My HDFC Bank debit card details were compromised after a phishing SMS. Rs 360367 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: HDFC02962.,HDFC Bank,open
106,106,2026-07-11T07:39:11,103053.52,An unknown person posing as a Axis Bank official convinced me to make a 'verification transfer' of Rs 103053. I later found the beneficiary IFSC was UTIB09192 and the number is no longer reachable.,Axis Bank,open
107,107,2026-06-02T05:15:53,287685.54,An unknown person posing as a ICICI Bank official convinced me to make a 'verification transfer' of Rs 287685. I later found the beneficiary IFSC was ICIC00514 and the number is no longer reachable.,ICICI Bank,open
108,108,2026-08-08T20:28:49,466226.58,I was tricked into installing a remote-access app after a fake HDFC Bank KYC update message. Rs 466226 was transferred out immediately. Bank IFSC on the receiving account appears to be HDFC02998.,HDFC Bank,open
109,109,2026-06-04T13:23:54,371129.76,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 371129 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB02822.,Punjab National Bank,open
110,110,2026-07-30T00:43:14,10665.11,An unknown person posing as a Punjab National Bank official convinced me to make a 'verification transfer' of Rs 10665. I later found the beneficiary IFSC was PUNB06321 and the number is no longer reachable.,Punjab National Bank,open
111,111,2026-06-04T13:48:25,466223.3,My HDFC Bank debit card details were compromised after a phishing SMS. Rs 466223 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: HDFC04385.,HDFC Bank,open
112,112,2026-08-10T20:44:13,54075.18,My State Bank of India debit card details were compromised after a phishing SMS. Rs 54075 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: SBIN03494.,State Bank of India,open
113,113,2026-07-01T12:44:01,136971.31,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 136971 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN05485.,State Bank of India,open
114,114,2026-06-24T17:15:14,164037.11,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 164037 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC07884.,ICICI Bank,open
115,115,2026-06-08T07:33:22,78830.59,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 78830. I later found the beneficiary IFSC was HDFC06605 and the number is no longer reachable.,HDFC Bank,open
116,116,2026-08-01T05:22:08,12991.62,An unknown person posing as a HDFC Bank official convinced me to make a 'verification transfer' of Rs 12991. I later found the beneficiary IFSC was HDFC02898 and the number is no longer reachable.,HDFC Bank,open
117,117,2026-08-16T11:35:58,85615.35,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 85615 was debited from my account without my consent. The transaction reference mentions IFSC UTIB08265.,Axis Bank,open
118,118,2026-07-07T13:34:33,388668.27,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 388668 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC08843.,ICICI Bank,open
119,119,2026-06-21T09:27:22,470043.78,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 470043 was debited from my account without my consent. The transaction reference mentions IFSC PUNB07262.,Punjab National Bank,open
120,120,2026-08-10T02:24:21,301921.19,My Punjab National Bank debit card details were compromised after a phishing SMS. Rs 301921 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: PUNB02458.,Punjab National Bank,open
121,121,2026-06-25T12:10:24,306972.21,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 306972 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN06488.,State Bank of India,open
122,122,2026-07-07T10:57:08,292831.03,My ICICI Bank debit card details were compromised after a phishing SMS. Rs 292831 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: ICIC09992.,ICICI Bank,open
123,123,2026-08-27T01:29:49,305964.31,I received a call claiming to be from Bank of Baroda customer support and was asked to share an OTP. Rs 305964 was debited from my account without my consent. The transaction reference mentions IFSC BARB04304.,Bank of Baroda,open
124,124,2026-06-07T18:20:31,261702.15,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 261702. I later found the beneficiary IFSC was SBIN06820 and the number is no longer reachable.,State Bank of India,open
125,125,2026-07-18T23:55:54,331935.7,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 331935 was debited from my account without my consent. The transaction reference mentions IFSC PUNB09387.,Punjab National Bank,open
126,126,2026-07-02T09:29:17,42727.09,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 42727 was debited from my account without my consent. The transaction reference mentions IFSC PUNB01574.,Punjab National Bank,open
127,127,2026-06-18T12:11:15,45310.28,My HDFC Bank debit card details were compromised after a phishing SMS. Rs 45310 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: HDFC05295.,HDFC Bank,open
128,128,2026-06-05T07:46:57,300307.53,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 300307. I later found the beneficiary IFSC was SBIN02632 and the number is no longer reachable.,State Bank of India,open
129,129,2026-06-29T07:23:23,198248.75,An unknown person posing as a Bank of Baroda official convinced me to make a 'verification transfer' of Rs 198248. I later found the beneficiary IFSC was BARB00257 and the number is no longer reachable.,Bank of Baroda,open
130,130,2026-06-02T01:30:46,430492.65,I was tricked into installing a remote-access app after a fake Punjab National Bank KYC update message. Rs 430492 was transferred out immediately. Bank IFSC on the receiving account appears to be PUNB06009.,Punjab National Bank,open
131,131,2026-08-10T02:02:56,276271.89,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 276271 was debited from my account without my consent. The transaction reference mentions IFSC UTIB06248.,Axis Bank,open
132,132,2026-07-02T17:51:32,214507.14,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 214507 was debited from my account without my consent. The transaction reference mentions IFSC UTIB05719.,Axis Bank,open
133,133,2026-06-05T18:48:17,387138.39,I was tricked into installing a remote-access app after a fake Axis Bank KYC update message. Rs 387138 was transferred out immediately. Bank IFSC on the receiving account appears to be UTIB02396.,Axis Bank,open
134,134,2026-08-06T14:31:13,95268.64,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 95268. I later found the beneficiary IFSC was SBIN04526 and the number is no longer reachable.,State Bank of India,open
135,135,2026-06-08T07:49:17,210012.9,My State Bank of India debit card details were compromised after a phishing SMS. Rs 210012 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: SBIN04027.,State Bank of India,open
